NA 0	null
/location/neighborhood/neighborhood_of 1	/location/neighborhood	/location/place_with_neighborhoods
/location/fr_region/capital 2	/location/region	/location/city_town
/location/cn_province/capital 3	/location/province	/location/administrative_division
/location/in_state/administrative_capital 4	/location/state	/location/city
/base/locations/countries/states_provinces_within 5	/base/locations/countries	/base/locations/state_and_provence
/organization/organization/founders 6	/organization/organization	/organization/organization_founder
/location/country/languages_spoken 7	/location/country	/language/human_language
/people/person/place_of_birth 8	/people/person	/location/location
/people/deceased_person/place_of_death 9	/people/deceased_person	/location/location
/location/it_region/capital 10	/location/region	/location/city_town
/people/family/members 11	/people/family	/people/family_member
/location/us_state/capital 12	/location/state	/location/city_town
/location/us_county/county_seat 13	/location/county	/location/city_town
/people/profession/people_with_this_profession 14	/people/profession	/people/person
/location/br_state/capital 15	/location/state	/location/city_town
/location/in_state/legislative_capital 16	/location/state	/location/city
/sports/sports_team/location 17	/sports/sports_team	/sports/sports_team_location
/people/person/religion 18	/people/person	/religion/religion
/location/in_state/judicial_capital 19	/location/state	/location/city
/business/company_advisor/companies_advised 20	/business/company_advisor	/organization/organization
/people/family/country 21	/people/family	/location/country
/time/event/locations 22	/time/event	/location/location
/organization/organization/place_founded 23	/organization/organization	/location/location
/location/administrative_division/country 24	/location/administrative_division	/location/country
/people/ethnicity/included_in_group 25	/people/ethnicity	/people/ethnicity
/location/mx_state/capital 26	/location/state	/location/city_town
/location/province/capital 27	/location/province	/location/city_town
/people/person/nationality 28	/people/person	/location/country
/organization/person/company 29	/people/person	/organization/organization
/business/shopping_center_owner/shopping_centers_owned 30	/business/shopping_center_owner	/business/shopping_center
/organization/organization/advisors 31	/organization/organization	/business/company_advisor
/business/shopping_center/owner 32	/business/shopping_center	/business/shopping_center_owner
/people/person/ethnicity 33	/people/person	/people/ethnicity
/people/deceased_person/place_of_burial 34	/people/deceased_person	/people/place_of_interment
/people/ethnicity/geographic_distribution 35	/people/ethnicity	/location/location
/people/person/place_lived 36	/people/person	/location/location
/business/company/major_shareholders 37	/organization/organization	/business/shareholder
/broadcast/producer/location 38	/broadcast/producer	/location/location
/broadcast/content/location 39	/broadcast/content	/location/location
/business/business_location/parent_company 40	/business/business_location	/organization/organization
/location/jp_prefecture/capital 41	/location/prefecture	/location/city_town
/film/film/featured_film_locations 42	/film/film	/film/film_location
/people/place_of_interment/interred_here 43	/people/place_of_interment	/people/deceased_person
/location/de_state/capital 44	/location/state	/location/city
/people/person/profession 45	/people/person	/people/profession
/organization/organization/locations 46	/organization/organization	/business/business_location
/location/country/capital 47	/location/country	/location/city_town
/location/location/contains 48	/location/location	/location/location
/location/country/administrative_divisions 49	/location/country	/location/administrative_division
/people/person/children 50	/people/person	/people/person
/film/film_location/featured_in_films 51	/film/film_location	/film/film
/film/film_festival/location 52	/film/film_festival	/location/location
